"order_id","segment_type","czas_dostawy"
"1397","STOP","185"
"2145","STOP","186"
"508","STOP","64"
"704","STOP","240"
"1327","STOP","227"
"2187","STOP","219"
"1820","STOP","268"
"1891","STOP","234"
"902","STOP","75"
"487","STOP","253"
"1418","STOP","62"
"71","STOP","137"
"1316","STOP","136"
"354","STOP","0"
"88","STOP","73"
"1030","STOP","247"
"721","STOP","212"
"993","STOP","0"
"728","STOP","458"
"1862","STOP","201"
"618","STOP","397"
"477","STOP","140"
"987","STOP","220"
"303","STOP","82"
"1878","STOP","99"
"615","STOP","84"
"1807","STOP","220"
"453","STOP","177"
"474","STOP","130"
"794","STOP","319"
"597","STOP","230"
"1270","STOP","228"
"1302","STOP","123"
"2172","STOP","94"
"694","STOP","152"
"870","STOP","190"
"1486","STOP","157"
"337","STOP","147"
"386","STOP","55"
"268","STOP","124"
"2166","STOP","65"
"1077","STOP","71"
"2208","STOP","59"
"1278","STOP","370"
"1163","STOP","285"
"80","STOP","233"
"97","STOP","179"
"95","STOP","294"
"667","STOP","47"
"39","STOP","326"
"1812","STOP","144"
"1168","STOP","77"
"1801","STOP","43"
"678","STOP","86"
"897","STOP","263"
"1032","STOP","0"
"1853","STOP","104"
"2052","STOP","66"
"1833","STOP","210"
"34","STOP","101"
"1147","STOP","153"
"1680","STOP","0"
"2175","STOP","138"
"924","STOP","131"
"818","STOP","225"
"1719","STOP","57"
"2105","STOP","238"
"636","STOP","14859"
"1386","STOP","42"
"715","STOP","26"
"1582","STOP","130"
"953","STOP","0"
"1209","STOP","194"
"1916","STOP","104"
"1746","STOP","139"
"840","STOP","113"
"158","STOP","-260"
"158","STOP","260"
"1117","STOP","113"
"285","STOP","177"
"837","STOP","77"
"1406","STOP","171"
"125","STOP","182"
"724","STOP","199"
"1384","STOP","272"
"2138","STOP","44"
"661","STOP","181"
"1512","STOP","49"
"1578","STOP","283"
"2029","STOP","0"
"2029","STOP","422"
"232","STOP","166"
"1251","STOP","282"
"1951","STOP","204"
"434","STOP","303"
"1604","STOP","419"
"2193","STOP","189"
"61","STOP","149"
"195","STOP","66"
"530","STOP","342"
"1175","STOP","0"
"1052","STOP","171"
"781","STOP","118"
"1298","STOP","330"
"50","STOP","279"
"1622","STOP","180"
"1518","STOP","137"
"2116","STOP","134"
"425","STOP","199"
"1197","STOP","147"
"1066","STOP","274"
"998","STOP","45"
"334","STOP","96"
"230","STOP","83"
"596","STOP","248"
"38","STOP","154"
"693","STOP","0"
"882","STOP","125"
"1966","STOP","186"
"491","STOP","359"
"459","STOP","158"
"236","STOP","133"
"1488","STOP","299"
"562","STOP","77"
"1892","STOP","329"
"318","STOP","201"
"2017","STOP","68"
"915","STOP","-125"
"2136","STOP","137"
"1028","STOP","0"
"766","STOP","82"
"394","STOP","270"
"1762","STOP","386"
"1440","STOP","183"
"811","STOP","202"
"608","STOP","58"
"1648","STOP","77"
"42","STOP","488"
"594","STOP","353"
"1698","STOP","254"
"1842","STOP","254"
"533","STOP","146"
"554","STOP","291"
"227","STOP","412"
"2085","STOP","226"
"1748","STOP","436"
"74","STOP","59"
"1837","STOP","281"
"496","STOP","144"
"758","STOP","48"
"1260","STOP","172"
"1576","STOP","91"
"1383","STOP","102"
"927","STOP","44"
"1953","STOP","111"
"54","STOP","117"
"410","STOP","173"
"890","STOP","148"
"1750","STOP","444"
"521","STOP","305"
"2164","STOP","0"
"1990","STOP","337"
"792","STOP","360"
"657","STOP","47"
"1053","STOP","65"
"672","STOP","290"
"1994","STOP","242"
"1139","STOP","63"
"294","STOP","575"
"77","STOP","0"
"1927","STOP","108"
"1854","STOP","87"
"822","STOP","189"
"553","STOP","61"
"370","STOP","156"
"398","STOP","355"
"347","STOP","34"
"1749","STOP","297"
"2217","STOP","347"
"175","STOP","51"
"214","STOP","215"
"1981","STOP","54"
"746","STOP","354"
"1898","STOP","103"
"1547","STOP","102"
"1219","STOP","122"
"296","STOP","127"
"1537","STOP","212"
"1886","STOP","259"
"561","STOP","261"
"1264","STOP","213"
"11","STOP","138"
"2147","STOP","213"
"1716","STOP","61"
"1671","STOP","365"
"734","STOP","14692"
"364","STOP","95"
"1797","STOP","296"
"592","STOP","84"
"1248","STOP","80"
"1781","STOP","320"
"1120","STOP","485"
"1090","STOP","181"
"20","STOP","0"
"1232","STOP","394"
"1806","STOP","603"
"2238","STOP","124"
"2171","STOP","140"
"1693","STOP","274"
"1093","STOP","190"
"1539","STOP","389"
"604","STOP","129"
"224","STOP","241"
"1534","STOP","128"
"198","STOP","88"
"2097","STOP","82"
"894","STOP","149"
"548","STOP","92"
"516","STOP","146"
"654","STOP","197"
"859","STOP","326"
"1824","STOP","243"
"2068","STOP","37"
"9","STOP","191"
"1998","STOP","343"
"1393","STOP","227"
"1586","STOP","544"
"135","STOP","61"
"408","STOP","176"
"782","STOP","465"
"151","STOP","291"
"283","STOP","92"
"1850","STOP","107"
"1413","STOP","248"
"1659","STOP","191"
"1789","STOP","181"
"75","STOP","100"
"1045","STOP","210"
"1553","STOP","65"
"2084","STOP","91"
"930","STOP","45"
"120","STOP","442"
"950","STOP","248"
"343","STOP","0"
"149","STOP","14459"
"330","STOP","191"
"1792","STOP","319"
"1489","STOP","299"
"1857","STOP","133"
"705","STOP","221"
"271","STOP","249"
"100","STOP","223"
"2134","STOP","293"
"2113","STOP","77"
"711","STOP","344"
"202","STOP","580"
"1952","STOP","194"
"452","STOP","51"
"2066","STOP","277"
"1516","STOP","69"
"1736","STOP","111"
"1678","STOP","96"
"542","STOP","282"
"1428","STOP","147"
"805","STOP","109"
"1446","STOP","128"
"1694","STOP","40"
"1396","STOP","101"
"541","STOP","404"
"1780","STOP","274"
"1190","STOP","56"
"367","STOP","103"
"1224","STOP","120"
"1348","STOP","347"
"115","STOP","161"
"756","STOP","107"
"2149","STOP","170"
"391","STOP","380"
"2179","STOP","325"
"1242","STOP","205"
"1471","STOP","239"
"2","STOP","201"
"325","STOP","107"
"1169","STOP","72"
"497","STOP","433"
"2198","STOP","116"
"1296","STOP","149"
"868","STOP","323"
"2073","STOP","137"
"2196","STOP","120"
"443","STOP","53"
"827","STOP","0"
"1772","STOP","64"
"76","STOP","334"
"1382","STOP","157"
"1423","STOP","115"
"1020","STOP","14573"
"1247","STOP","211"
"2119","STOP","127"
"2176","STOP","122"
"1337","STOP","110"
"1196","STOP","44"
"369","STOP","74"
"1821","STOP","137"
"1835","STOP","199"
"2140","STOP","359"
"1945","STOP","99"
"1417","STOP","116"
"1031","STOP","52"
"1598","STOP","269"
"1017","STOP","68"
"1805","STOP","399"
"560","STOP","205"
"1704","STOP","108"
"2152","STOP","308"
"468","STOP","182"
"1663","STOP","176"
"1905","STOP","0"
"1743","STOP","278"
"980","STOP","220"
"1676","STOP","95"
"1922","STOP","0"
"1205","STOP","217"
"140","STOP","224"
"381","STOP","48"
"1875","STOP","140"
"1392","STOP","198"
"1381","STOP","108"
"1410","STOP","96"
"62","STOP","182"
"1895","STOP","124"
"2160","STOP","85"
"178","STOP","125"
"1608","STOP","0"
"1679","STOP","51"
"862","STOP","191"
"1920","STOP","211"
"835","STOP","357"
"1978","STOP","112"
"1431","STOP","120"
"620","STOP","260"
"2043","STOP","161"
"1969","STOP","55"
"1303","STOP","244"
"1146","STOP","39"
"1980","STOP","98"
"204","STOP","92"
"242","STOP","60"
"13","STOP","143"
"2099","STOP","121"
"2127","STOP","308"
"324","STOP","42"
"1939","STOP","279"
"1874","STOP","195"
"1349","STOP","151"
"429","STOP","151"
"1436","STOP","157"
"2064","STOP","217"
"725","STOP","124"
"871","STOP","61"
"2098","STOP","70"
"1657","STOP","193"
"933","STOP","241"
"203","STOP","347"
"632","STOP","86"
"348","STOP","131"
"612","STOP","217"
"529","STOP","224"
"1988","STOP","266"
"226","STOP","630"
"983","STOP","410"
"1883","STOP","69"
"266","STOP","36"
"1367","STOP","213"
"187","STOP","78"
"1342","STOP","62"
"931","STOP","177"
"943","STOP","42"
"2039","STOP","146"
"1465","STOP","188"
"1100","STOP","64"
"2124","STOP","209"
"1713","STOP","85"
"109","STOP","139"
"1421","STOP","71"
"1968","STOP","134"
"880","STOP","129"
"2205","STOP","126"
"505","STOP","194"
"1295","STOP","0"
"1911","STOP","195"
"1779","STOP","108"
"1092","STOP","161"
"698","STOP","282"
"2200","STOP","135"
"664","STOP","283"
"1114","STOP","139"
"489","STOP","245"
"1646","STOP","527"
"344","STOP","72"
"1635","STOP","176"
"2046","STOP","368"
"683","STOP","201"
"532","STOP","179"
"1011","STOP","172"
"2143","STOP","209"
"390","STOP","138"
"349","STOP","54"
"570","STOP","119"
"392","STOP","79"
"614","STOP","305"
"793","STOP","63"
"1921","STOP","51"
"247","STOP","133"
"1760","STOP","208"
"696","STOP","209"
"1810","STOP","627"
"143","STOP","262"
"375","STOP","166"
"947","STOP","182"
"5","STOP","120"
"1564","STOP","295"
"884","STOP","193"
"2158","STOP","116"
"1143","STOP","75"
"1943","STOP","33"
"2009","STOP","165"
"1363","STOP","310"
"2110","STOP","173"
"366","STOP","212"
"960","STOP","257"
"2218","STOP","69"
"992","STOP","137"
"1187","STOP","63"
"1422","STOP","202"
"287","STOP","396"
"1112","STOP","190"
"1262","STOP","209"
"476","STOP","0"
"841","STOP","0"
"1526","STOP","82"
"808","STOP","302"
"1294","STOP","132"
"784","STOP","114"
"1129","STOP","424"
"124","STOP","343"
"15","STOP","144"
"435","STOP","0"
"1756","STOP","361"
"1808","STOP","72"
"938","STOP","130"
"1109","STOP","168"
"207","STOP","186"
"1535","STOP","197"
"1470","STOP","163"
"1082","STOP","254"
"1126","STOP","276"
"929","STOP","37"
"752","STOP","171"
"641","STOP","135"
"955","STOP","61"
"609","STOP","273"
"36","STOP","300"
"1691","STOP","133"
"93","STOP","99"
"1511","STOP","65"
"1179","STOP","207"
"876","STOP","112"
"1650","STOP","324"
"51","STOP","71"
"1551","STOP","74"
"1551","STOP","0"
"598","STOP","92"
"148","STOP","80"
"1160","STOP","118"
"2174","STOP","41"
"276","STOP","48"
"695","STOP","0"
"1297","STOP","267"
"1297","STOP","267"
"1993","STOP","151"
"1849","STOP","57"
"1724","STOP","46"
"1321","STOP","260"
"676","STOP","172"
"2101","STOP","184"
"816","STOP","125"
"1588","STOP","82"
"58","STOP","64"
"791","STOP","176"
"1625","STOP","167"
"1451","STOP","168"
"543","STOP","422"
"879","STOP","198"
"2227","STOP","75"
"582","STOP","154"
"1602","STOP","60"
"416","STOP","77"
"2109","STOP","105"
"1709","STOP","224"
"1593","STOP","115"
"555","STOP","319"
"1110","STOP","85"
"1618","STOP","0"
"1544","STOP","0"
"479","STOP","166"
"1186","STOP","254"
"447","STOP","359"
"1731","STOP","231"
"847","STOP","78"
"1665","STOP","89"
"1705","STOP","428"
"326","STOP","186"
"1001","STOP","225"
"1016","STOP","107"
"1689","STOP","48"
"1730","STOP","172"
"196","STOP","0"
"1504","STOP","263"
"1855","STOP","133"
"2151","STOP","69"
"253","STOP","87"
"739","STOP","422"
"1661","STOP","56"
"286","STOP","289"
"611","STOP","55"
"2230","STOP","52"
"229","STOP","80"
"278","STOP","61"
"1997","STOP","97"
"338","STOP","141"
"472","STOP","51"
"1056","STOP","63"
"1441","STOP","100"
"750","STOP","58"
"2135","STOP","119"
"1497","STOP","39"
"18","STOP","0"
"668","STOP","285"
"2148","STOP","0"
"1711","STOP","181"
"1828","STOP","112"
"191","STOP","177"
"200","STOP","230"
"669","STOP","181"
"673","STOP","119"
"1040","STOP","194"
"1351","STOP","108"
"1374","STOP","216"
"30","STOP","400"
"1496","STOP","146"
"1864","STOP","76"
"1889","STOP","335"
"73","STOP","161"
"25","STOP","164"
"1741","STOP","199"
"137","STOP","191"
"205","STOP","202"
"1848","STOP","182"
"1144","STOP","105"
"291","STOP","67"
"1415","STOP","40"
"279","STOP","125"
"2090","STOP","322"
"189","STOP","39"
"92","STOP","168"
"353","STOP","57"
"1459","STOP","303"
"1851","STOP","70"
"1965","STOP","96"
"7","STOP","14747"
"1088","STOP","228"
"640","STOP","0"
"941","STOP","14671"
"853","STOP","77"
"1268","STOP","328"
"428","STOP","87"
"1946","STOP","52"
"389","STOP","390"
"518","STOP","123"
"1483","STOP","59"
"2075","STOP","502"
"1079","STOP","485"
"290","STOP","68"
"316","STOP","75"
"1257","STOP","255"
"2026","STOP","283"
"659","STOP","154"
"12","STOP","235"
"238","STOP","90"
"713","STOP","65"
"552","STOP","72"
"413","STOP","463"
"162","STOP","400"
"959","STOP","126"
"1012","STOP","46"
"300","STOP","331"
"796","STOP","319"
"113","STOP","50"
"1279","STOP","86"
"989","STOP","104"
"989","STOP","104"
"454","STOP","136"
"2072","STOP","140"
"1654","STOP","280"
"1046","STOP","65"
"216","STOP","253"
"2182","STOP","481"
"2118","STOP","259"
"1357","STOP","304"
"524","STOP","203"
"974","STOP","107"
"1764","STOP","53"
"274","STOP","401"
"1394","STOP","302"
"417","STOP","148"
"1134","STOP","78"
"1313","STOP","159"
"1859","STOP","0"
"1893","STOP","68"
"2137","STOP","103"
"2130","STOP","39"
"1825","STOP","99"
"1727","STOP","82"
"1142","STOP","80"
"1556","STOP","170"
"831","STOP","158"
"797","STOP","263"
"643","STOP","-149"
"2089","STOP","354"
"2234","STOP","207"
"970","STOP","196"
"1375","STOP","106"
"2131","STOP","80"
"1606","STOP","14497"
"710","STOP","137"
"1188","STOP","268"
"1132","STOP","170"
"836","STOP","151"
"1356","STOP","14523"
"789","STOP","0"
"891","STOP","159"
"660","STOP","66"
"157","STOP","0"
"621","STOP","78"
"649","STOP","84"
"1804","STOP","60"
"975","STOP","47"
"700","STOP","123"
"2108","STOP","102"
"851","STOP","97"
"220","STOP","112"
"733","STOP","121"
"677","STOP","101"
"1332","STOP","61"
"568","STOP","77"
"601","STOP","123"
"2153","STOP","133"
"1182","STOP","14538"
"1640","STOP","0"
"1619","STOP","110"
"1054","STOP","176"
"2087","STOP","138"
"1811","STOP","170"
"914","STOP","342"
"1339","STOP","146"
"280","STOP","80"
"250","STOP","357"
"1938","STOP","70"
"510","STOP","301"
"875","STOP","107"
"1135","STOP","231"
"267","STOP","70"
"1759","STOP","201"
"519","STOP","247"
"1685","STOP","131"
"2213","STOP","248"
"2092","STOP","40"
"1579","STOP","176"
"800","STOP","36"
"1597","STOP","315"
"1194","STOP","56"
"1388","STOP","205"
"804","STOP","59"
"1930","STOP","0"
"1590","STOP","216"
"138","STOP","0"
"41","STOP","198"
"1508","STOP","107"
"1914","STOP","143"
"1408","STOP","180"
"1867","STOP","144"
"551","STOP","234"
"1493","STOP","183"
"1214","STOP","142"
"2212","STOP","153"
"259","STOP","76"
"1915","STOP","255"
"515","STOP","267"
"164","STOP","202"
"1979","STOP","148"
"577","STOP","90"
"602","STOP","192"
"155","STOP","123"
"1677","STOP","34"
"703","STOP","119"
"1023","STOP","167"
"482","STOP","82"
"1517","STOP","219"
"1289","STOP","98"
"834","STOP","390"
"650","STOP","69"
"1213","STOP","231"
"1778","STOP","254"
"2155","STOP","289"
"169","STOP","0"
"1912","STOP","201"
"1934","STOP","85"
"2093","STOP","0"
"83","STOP","48"
"471","STOP","349"
"2050","STOP","248"
"2045","STOP","100"
"1940","STOP","0"
"888","STOP","197"
"888","STOP","197"
"504","STOP","99"
"2022","STOP","135"
"499","STOP","472"
"579","STOP","117"
"2027","STOP","211"
"2094","STOP","175"
"1523","STOP","180"
"295","STOP","83"
"1024","STOP","116"
"1936","STOP","64"
"188","STOP","162"
"219","STOP","430"
"1216","STOP","237"
"23","STOP","76"
"1715","STOP","199"
"865","STOP","194"
"2019","STOP","118"
"1156","STOP","99"
"642","STOP","34"
"1522","STOP","45"
"495","STOP","156"
"1529","STOP","273"
"1529","STOP","273"
"277","STOP","193"
"1437","STOP","175"
"1666","STOP","258"
"433","STOP","103"
"1813","STOP","159"
"1603","STOP","0"
"719","STOP","49"
"107","STOP","406"
"2206","STOP","78"
"1520","STOP","73"
"1358","STOP","108"
"1866","STOP","329"
"352","STOP","54"
"1500","STOP","14496"
"298","STOP","102"
"104","STOP","74"
"161","STOP","141"
"1432","STOP","56"
"1581","STOP","184"
"1072","STOP","53"
"2057","STOP","37"
"108","STOP","122"
"237","STOP","244"
"2107","STOP","128"
"1249","STOP","46"
"1239","STOP","219"
"1345","STOP","270"
"1241","STOP","183"
"223","STOP","345"
"89","STOP","115"
"2209","STOP","138"
"1141","STOP","370"
"952","STOP","54"
"1519","STOP","113"
"1075","STOP","68"
"2226","STOP","112"
"2016","STOP","173"
"631","STOP","130"
"182","STOP","210"
"1398","STOP","14479"
"1956","STOP","307"
"1668","STOP","49"
"814","STOP","181"
"1068","STOP","297"
"462","STOP","187"
"1067","STOP","100"
"857","STOP","106"
"908","STOP","34"
"1480","STOP","219"
"2040","STOP","196"
"1777","STOP","138"
"1816","STOP","260"
"1543","STOP","327"
"907","STOP","141"
"1626","STOP","221"
"246","STOP","242"
"1823","STOP","188"
"282","STOP","0"
"821","STOP","78"
"833","STOP","232"
"43","STOP","113"
"106","STOP","207"
"360","STOP","165"
"1003","STOP","380"
"1060","STOP","293"
"1380","STOP","0"
"457","STOP","131"
"1695","STOP","224"
"2121","STOP","457"
"131","STOP","70"
"1318","STOP","131"
"475","STOP","88"
"281","STOP","88"
"1479","STOP","100"
"2070","STOP","69"
"1836","STOP","170"
"365","STOP","119"
"1286","STOP","193"
"1887","STOP","72"
"382","STOP","185"
"1201","STOP","37"
"1370","STOP","148"
"1690","STOP","112"
"16","STOP","0"
"1317","STOP","81"
"134","STOP","336"
"1974","STOP","218"
"2028","STOP","55"
"307","STOP","71"
"439","STOP","117"
"2047","STOP","53"
"2033","STOP","112"
"1985","STOP","98"
"3","STOP","92"
"1614","STOP","128"
"2215","STOP","14469"
"1267","STOP","682"
"1583","STOP","93"
"396","STOP","521"
"850","STOP","0"
"1714","STOP","176"
"144","STOP","104"
"932","STOP","134"
"1726","STOP","346"
"1203","STOP","129"
"1220","STOP","363"
"1253","STOP","71"
"1430","STOP","68"
"920","STOP","85"
"222","STOP","139"
"928","STOP","260"
"848","STOP","142"
"1215","STOP","398"
"923","STOP","140"
"501","STOP","143"
"2183","STOP","61"
"1390","STOP","81"
"1458","STOP","133"
"934","STOP","212"
"2103","STOP","208"
"520","STOP","30"
"1701","STOP","234"
"336","STOP","92"
"935","STOP","163"
"712","STOP","0"
"639","STOP","184"
"1225","STOP","92"
"1113","STOP","501"
"774","STOP","263"
"645","STOP","134"
"1860","STOP","66"
"340","STOP","299"
"2191","STOP","381"
"945","STOP","104"
"1255","STOP","300"
"856","STOP","317"
"1137","STOP","92"
"1364","STOP","320"
"288","STOP","29"
"1118","STOP","57"
"603","STOP","238"
"680","STOP","119"
"17","STOP","186"
"1448","STOP","154"
"2056","STOP","306"
"1250","STOP","78"
"1485","STOP","129"
"2059","STOP","342"
"1217","STOP","187"
"1774","STOP","52"
"1074","STOP","0"
"1323","STOP","405"
"1768","STOP","203"
"1272","STOP","91"
"1111","STOP","144"
"1361","STOP","103"
"484","STOP","347"
"1048","STOP","104"
"1601","STOP","81"
"877","STOP","82"
"1573","STOP","50"
"179","STOP","117"
"1391","STOP","185"
"2069","STOP","126"
"1460","STOP","183"
"2197","STOP","294"
"8","STOP","280"
"1802","STOP","127"
"1097","STOP","276"
"357","STOP","147"
"628","STOP","192"
"1404","STOP","403"
"1377","STOP","180"
"1844","STOP","128"
"377","STOP","394"
"1191","STOP","264"
"701","STOP","217"
"2232","STOP","0"
"460","STOP","76"
"1059","STOP","257"
"2041","STOP","240"
"2128","STOP","-154"
"1611","STOP","111"
"1310","STOP","272"
"509","STOP","244"
"1409","STOP","271"
"119","STOP","168"
"301","STOP","76"
"1992","STOP","204"
"55","STOP","84"
"1647","STOP","132"
"409","STOP","241"
"1897","STOP","176"
"844","STOP","188"
"1352","STOP","128"
"727","STOP","63"
"1478","STOP","109"
"483","STOP","160"
"878","STOP","367"
"1487","STOP","450"
"1555","STOP","185"
"1721","STOP","209"
"874","STOP","187"
"335","STOP","92"
"1670","STOP","323"
"788","STOP","156"
"788","STOP","156"
"655","STOP","51"
"473","STOP","69"
"1550","STOP","300"
"2141","STOP","86"
"234","STOP","56"
"234","STOP","56"
"1610","STOP","362"
"2023","STOP","222"
"502","STOP","293"
"502","STOP","293"
"1308","STOP","119"
"206","STOP","223"
"617","STOP","209"
"117","STOP","256"
"1955","STOP","53"
"1029","STOP","66"
"599","STOP","150"
"1206","STOP","31"
"1876","STOP","251"
"1034","STOP","0"
"1235","STOP","65"
"679","STOP","101"
"823","STOP","69"
"1360","STOP","64"
"37","STOP","154"
"670","STOP","92"
"1025","STOP","78"
"1474","STOP","0"
"1987","STOP","249"
"1830","STOP","234"
"692","STOP","147"
"2207","STOP","160"
"1567","STOP","78"
"1527","STOP","120"
"580","STOP","0"
"1919","STOP","0"
"1151","STOP","14467"
"828","STOP","117"
"1199","STOP","116"
"743","STOP","47"
"372","STOP","344"
"1229","STOP","0"
"1773","STOP","121"
"150","STOP","320"
"986","STOP","211"
"1829","STOP","123"
"373","STOP","53"
"1300","STOP","133"
"1425","STOP","167"
"1228","STOP","156"
"830","STOP","193"
"798","STOP","57"
"1161","STOP","71"
"1984","STOP","299"
"745","STOP","506"
"783","STOP","149"
"722","STOP","63"
"1629","STOP","101"
"1435","STOP","66"
"385","STOP","313"
"0","STOP","309"
"1464","STOP","235"
"421","STOP","56"
"1158","STOP","170"
"1609","STOP","43"
"1","STOP","69"
"358","STOP","141"
"1331","STOP","349"
"1389","STOP","107"
"111","STOP","153"
"545","STOP","222"
"514","STOP","126"
"1790","STOP","304"
"1037","STOP","211"
"1991","STOP","136"
"1574","STOP","90"
"79","STOP","14548"
"1164","STOP","312"
"432","STOP","185"
"1725","STOP","304"
"2225","STOP","55"
"233","STOP","14623"
"1319","STOP","0"
"1283","STOP","140"
"329","STOP","106"
"905","STOP","0"
"211","STOP","87"
"965","STOP","186"
"1304","STOP","200"
"91","STOP","95"
"64","STOP","46"
"1970","STOP","133"
"1948","STOP","234"
"1490","STOP","183"
"500","STOP","197"
"1775","STOP","89"
"376","STOP","129"
"49","STOP","37"
"2237","STOP","74"
"2006","STOP","100"
"707","STOP","79"
"940","STOP","249"
"2194","STOP","129"
"1941","STOP","110"
"1584","STOP","0"
"1793","STOP","116"
"1115","STOP","64"
"2000","STOP","237"
"2125","STOP","42"
"770","STOP","126"
"2034","STOP","64"
"1155","STOP","72"
"511","STOP","242"
"2216","STOP","106"
"1457","STOP","468"
"1655","STOP","155"
"1580","STOP","-265"
"1767","STOP","145"
"68","STOP","163"
"2048","STOP","237"
"778","STOP","231"
"565","STOP","129"
"1403","STOP","545"
"697","STOP","140"
"190","STOP","99"
"1502","STOP","218"
"1738","STOP","147"
"2204","STOP","121"
"760","STOP","68"
"1926","STOP","231"
"96","STOP","145"
"147","STOP","86"
"1710","STOP","60"
"1281","STOP","54"
"1735","STOP","262"
"2013","STOP","177"
